Year,Organization,Country HQ,Country location,Row,Forest Risk Commodity,Forest Risk Assessment,Forest Risk Process,Regulatory risks - Risk Present,Regulatory risks - Further Details,Reputational Risks - Risk Present,Reputational Risks - Further Details,Operational Risks - Risk Present,Operational Risks - Further Details
2014,Sky plc,United Kingdom,"(55.378051, -3.435973)",1,Timber,Yes,"Sky’s risk assessment is carried out using the following approach.
1. Meetings are held with key areas of the business (e.g. procurement, creative, operational contractors) to understand scope of paper and wood based products procured, estimated volumes and processes followed to procure items. 
2. The regulatory, reputational and operational deforestation risk based on the volume of the item being purchased by Sky are then assessed; the type of product; end use; country of origin; supplier; if Sky is the end user. 
3. The risk assessment process is updated accordingly when procuring any relevant material, or, at a minimum, annually.",Non-material risk,"There is a small potential risk that wood and paper products procured by Sky could be derived from a CITES listed species. 
However, Sky’s Wood and Paper Purchasing Policy is there to mitigate this risk. The PEFC and FSC certifications ensure strict requirements for responsible forest management are being met.
To further ensure compliance, we maintain a Responsible Sourcing Programme through which we uphold our Responsible Sourcing Policy and implement a third party Responsible Sourcing Questionnaire. It has become an integral part of our transactions with suppliers.",Non-material risk,"A small, immaterial reputational risk resides in Sky’s purchase of timber and paper products. If Sky was to procure a product that was sourced from illegal or unsustainably harvested sources, this would go against our policy and undermine Sky’s environment programme and its Sky Rainforest Rescue campaign, which is in partnership with WWF. 
However, Sky’s Wood and Paper Purchasing Policy, alongside Sky’s Responsible Sourcing  Programme mitigate this risk and are an integral part of the relationship we have with suppliers.",Non-material risk,"The use of paper-based products is crucial for Sky's marketing communications and customer transactional communications. As a result, ensuring availability of supply of sustainably sourced paper is important and there is the risk that shortfall in supply of sustainably sourced paper would have a significant impact on business activity.
However, in the context of Sky’s other operations there are much greater, business critical risks that exist and make the operational risk of a shortfall in sustainably sourced comparatively small, and as such make it an immaterial issue to the business."
2013,"Smithfield Foods, Inc.",USA,"(37.09024, -95.712891)",1,Timber,No,We have begun discussions with our primary cardboard and paperboard suppliers to determine how deforestation risk might be assessed.,Non-material risk,"Future regulation related to timber harvesting or deforestation might have an impact on cost or availlability of timber for packaging materials. However, we are not aware of any current risk.",Non-material risk,"Being connected with an illegal or inappropriate deforestation situation might lead to a reputational issue. Also, customers/consumers made require/expect a higher level of source verification than we currently have in place.",Non-material risk,"If our supply of packaging materials somehow became limited, our operations (their ability to package our products) could be impacted from an availability or cost perspective."
2014,"Smithfield Foods, Inc.",USA,"(37.09024, -95.712891)",1,Timber,Partial,Major suppliers have indicated that deforestation risk information is generally not yet available. We continue discussions to determine how deforestation risk might be assessed.,Non-material risk,"The possibility exists that some raw materials could be sourced by our 2nd tier or beyond suppliers that is not produced in accordance with all applicable laws and regulations. However, the impact of any regulatory response to non-compliance would not likely impact our operations as we and our first tier suppliers would be able to move to more appropriate sources.",Material risk,Being connected with a non-compliant or inappropriate souce could influence our customers to seek out other suppliers based on reputational concerns.,Non-material risk,"A shortage of materials could potentially occur that might lead to a shortage on our part. However, with multiple sources available, this seems unlikely."
2013,Smurfit Kappa Group PLC,Ireland,"(53.41291, -8.24389)",1,Timber,Yes or 100% third party certified raw materials already achieved,"At end of 2012 we have assessed 100 % of the wood entering our operations as from non-controversial origin and 55 %  are FSC or PEFC certified.
Regarding virgin paper we purchased from external at end of 2012,  95 % of this  paper was FSC or SFI certifed chain of custody or controlled wood certified.",Material risk,In Europe the legislation in place since the 3rd March 2013 is the Eu Timber regulation (Regulation n° 995/2010),Material risk,"It is our policy to only purchase timber/wood from certified origin and/or from controlled wood origin. Our risk therefore should be non-material. However, there is an indirect risk, for example that NGOs campaign against forest product companies using non CoC certified and/or Non-controlled origin forest products such as pulp produced in Indonesia. from those campaign, indirectly there is a reputational risk.",Material risk,To prevent any risk of deforestation when purchasing pulp and other timber based products we purchase only CoC certified material. However the percentage of certied forests is limited so there is a risk that there is less certified timber products available than our demand for such products.
2014,Smurfit Kappa Group PLC,Ireland,"(53.41291, -8.24389)",1,Timber,Yes,"At end of 2013 we have assessed 100 % of the wood entering our operations as from non-controversial origin. 56 %  are FSC or PEFC certified, the rest is from controlled wood ( FSC Controlled wood certified). Regarding virgin paper we purchased from external,  at end of 2013,  98 % of this  paper was FSC or SFI certifed chain of custody or FSC Controlled Wood certified.",Material risk,In Europe the legislation in place since the 3rd March 2013 is the Eu Timber regulation (Regulation n° 995/2010),Material risk,"It is our policy to only purchase timber/wood from certified origin and/or from controlled wood origin. Our risk therefore should be non-material. However, there is an indirect risk, for example that NGOs campaign against forest product companies using non CoC certified and/or Non-controlled origin forest products such as pulp produced in Indonesia. From those campaign, indirectly there is a reputational risk, for the whole paper industry.",Material risk,To prevent any risk of deforestation when purchasing pulp and other timber based products we purchase only CoC certified material. However the percentage of certied forests is limited so there is a risk that there is less certified timber products available than our demand for such products.
2013,Sodexo,France,"(46.227638, 2.213749)",5,Biofuels,Yes or 100% third party certified raw materials already achieved,"Sodexo's use of biofuels is extremely limited and Sodexo is working with all of its sites where cooking oil is used in order to ensure that Used Cooking Oil is collected and recycled in order to provide a renewable source of biofuels. As such, Sodexo's assessment of its risk related to biofuels is that the risk of any sort is extremely low.",No risk,Regulations in relation to biofuel would have no impact on our business our volume is so small,No risk,"There is no reputational risk in relation to biofuel, our volume is so small",No risk,Sodexo purchases only a very small volume of biofuels and would not be impacted if it was no longer able to do so.
2013,Sodexo,France,"(46.227638, 2.213749)",1,Timber,Yes or 100% third party certified raw materials already achieved,"When Sodexo was developing the Better Tomorrow Plan during the Fiscal Year 2009, a materiality study was carried out with the major stakeholders. Timber was identified as a material commodity area for Sodexo to commit to improve the sustainability of its business.
As such a working group is set up to identify the risks and opportunities related to each category and to define the strategy on how best to mitigate the risks and optimise the opportunities.
This working group is tasked with producing and regularly updating a position paper summarising the risks and opportunties identified as well as the Group's commitments and strategy for the coming years.
The risk assessment covers physical risks, regulatory risks and reputational risks to Sodexo's business.",Non-material risk,Sodexo's purchases of paper are dispersed over many different types of product and in many geographies. Legislation regarding the timber industry tends to concern illegal logging which Sodexo is already working to avoid through the use of paper from sustainably certified or recycled sources	,Material risk,"Many of Sodexo's stakeholders including our employees, clients, consumers and NGOs are increasingly interested in understanding how companies source their raw materials	",Non-material risk,"Although there is an increasing shift to the use of electronic or plastic supports, our Benefits and Rewards activity is still partly dependent on the ability to source paper in order to carry out its activity.	"
2013,Sodexo,France,"(46.227638, 2.213749)",2,Palm Oil,Yes or 100% third party certified raw materials already achieved,"When Sodexo was developing the Better Tomorrow Plan during the Fiscal Year 2009, a materiality study was carried out with the major stakeholders. Sustainable Agriculture was identified as a material area for Sodexo to commit to improve the sustainability of its business. 
Sodexo subsequently worked with the WWF within the framework of our technical agreement to identify the most material commodity groups within the agriculture in general and palm oil was one of the five commodities identified based on :
- Greenhouse gas emissions from deforestation
- Water footprint and river basins
- Overlap with areas of high biodiversity
- Social concerns
- Sourcing volumes and cost
As a result, a working group for palm oil was set up to work with some of the major palm oil consuming countries (in Europe, North America, South America and Asia) to identify the risks and opportunities related to each category and to define the strategy on how best to mitigate the risks and optimise the opportunities.
This working group is tasked with producing and regularly updating a position paper summarising the risks and opportunties identified as well as the Group's commitments and strategy for the coming years.
The risk assessment covers physical risks, regulatory risks and reputational risks to Sodexo's business.",Non-material risk,"Whilst Sodexo takes its purchases of palm oil seriously and is in the process of deploying a strategy to increase the sustainability of its sourcing, palm oil is a relatively small commodity for which regulation would not have a major impact	",Material risk,"Many of Sodexo's stakeholders including our employees, clients, consumers and NGOs are increasingly interested in understanding how companies source their raw materials	",Non-material risk,"Whilst Sodexo takes its purchases of palm oil seriously and is in the process of deploying a strategy to increase the sustainability of its sourcing, palm oil is a relatively small commodity which does not have major operational risks associated with it.	"
2013,Sodexo,France,"(46.227638, 2.213749)",3,Cattle Products,Yes or 100% third party certified raw materials already achieved,"When Sodexo was developing the Better Tomorrow Plan during the Fiscal Year 2009, a materiality study was carried out with the major stakeholders. Sustainable Agriculture was identified as a material area for Sodexo to commit to improve the sustainability of its business. 
Sodexo subsequently worked with the WWF within the framework of our technical agreement to identify the most material commodity groups within the agriculture in general and beef was one of the five commodities identified based on :
- Greenhouse gas emissions from deforestation
- Water footprint and river basins
- Overlap with areas of high biodiversity
- Social concerns
- Sourcing volumes and cost
As a result, the Group has worked to carry out a full risk assessment including physical, reputational and regulatory risks involved with beef and is working on the deployment of a strategy to reduce those risks.",Material risk,Regulations in relation to beef could have a material impact on Sodexo's business due to the importance of this commodity in our business. However the geographical spread of our activities and our ability to substitute the use of beef with other animal or vegetable proteins means that such impacts are limited	,Material risk,"Many of Sodexo's stakeholders including our employees, clients, consumers and NGOs are increasingly interested in understanding how companies source their raw materials	",Non-material risk,"The purchase of beef is important to Sodexo's business, however the geographical spread of our activities and our ability to substitute the use of beef with other animal or vegetable proteins means that risks are limited	"
2013,Sodexo,France,"(46.227638, 2.213749)",4,Soy,Yes or 100% third party certified raw materials already achieved,"When Sodexo was developing the Better Tomorrow Plan during the Fiscal Year 2009, a materiality study was carried out with the major stakeholders. Sustainable Agriculture was identified as a material area for Sodexo to commit to improve the sustainability of its business. 
Sodexo subsequently worked with the WWF within the framework of our technical agreement to identify the most material commodity groups within the agriculture in general and soywas one of the five commodities identified based on :
- Greenhouse gas emissions from deforestation
- Water footprint and river basins
- Overlap with areas of high biodiversity
- Social concerns
- Sourcing volumes and cost
As a result, the Group has worked to carry out a full risk assessment including physical, reputational and regulatory risks involved with beef and is working on the deployment of a strategy to reduce those risks.",Material risk,Regulations in relation to soy could have a material impact on Sodexo's business due to the importance of this commodity in our business. However the geographical spread of our activities means that such impacts are limited	,Material risk,"Many of Sodexo's stakeholders including our employees, clients, consumers and NGOs are increasingly interested in understanding how companies source their raw materials	",Non-material risk,"Sodexo does not purchase soy directly but mostly indirectly as animal feed through its purchases of meat, poultry and dairy products. 	"
2014,Sveaskog,Sweden,"(60.128161, 18.643501)",1,Timber,Yes,Analysis of possible deforestation risks in Swedish forest management and in connection to limited imports of wood from the Baltic region.,Material risk,EU Timber Regulation,Material risk,"Although Sveaskog are 100% certified on all timber sources there is always a reputational risk associated with tree cutting, due to high level of media coverage and potential NGO campains on forest issues",Non-material risk,
2014,Sodexo,France,"(46.227638, 2.213749)",1,Timber,,"When Sodexo was developing the Better Tomorrow Plan during the Fiscal Year 2009, a materiality study was carried out with the major stakeholders. This materiality study has been renewed as part of the process to evolve the Better Tomorrow Plan towards 2025. Timber continues to be identified as a material commodity area for Sodexo to work on in order to improve the sustainability of its business.
As such a working group is set up to identify the risks and opportunities related to each category and to define the strategy on how best to mitigate the risks and optimise the opportunities.
This working group is tasked with producing and regularly updating a position paper summarising the risks and opportunties identified as well as the Group's commitments and strategy for the coming years.
The risk assessment covers physical risks, regulatory risks and reputational risks to Sodexo's business.",Non-material risk,Sodexo's purchases of paper are dispersed over many different types of product and in many geographies. Legislation regarding the timber industry tends to concern illegal logging which Sodexo is already working to avoid through the use of paper from sustainably certified or recycled sources,Material risk,"Many of Sodexo's stakeholders including our employees, clients, consumers, NGOs and financial investors are increasingly interested in understanding how companies source their raw materials",Non-material risk,"Although there is an increasing shift to the use of electronic or plastic supports, our Benefits and Rewards activity is still partly dependent on the ability to source paper in order to carry out its activity."
2014,Sodexo,France,"(46.227638, 2.213749)",2,Palm Oil,,"When Sodexo was developing the Better Tomorrow Plan during the Fiscal Year 2009, a materiality study was carried out with the major stakeholders. This materiality study has been renewed as part of the process to evolve the Better Tomorrow Plan towards 2025.  Sustainable Agriculture was identified as a material area for Sodexo to commit to improve the sustainability of its business. 
Sodexo subsequently worked with the WWF within the framework of our technical agreement to identify the most material commodity groups within the agriculture in general and palm oil was one of the five commodities identified based on :
- Greenhouse gas emissions from deforestation
- Water footprint and river basins
- Overlap with areas of high biodiversity
- Social concerns
- Sourcing volumes and cost
As a result, a working group for palm oil was set up to work with some of the major palm oil consuming countries (in Europe, North America, South America and Asia) to identify the risks and opportunities related to each category and to define the strategy on how best to mitigate the risks and optimise the opportunities.
This working group is tasked with producing and regularly updating a position paper summarising the risks and opportunties identified as well as the Group's commitments and strategy for the coming years.
The risk assessment covers physical risks, regulatory risks and reputational risks to Sodexo's business.",Non-material risk,"Whilst Sodexo takes its purchases of palm oil seriously and is in the process of deploying a strategy to increase the sustainability of its sourcing, palm oil is a relatively small commodity for which regulation would not have a major impact",Material risk,"Many of Sodexo's stakeholders including our employees, clients, consumers, NGOs and financial investors are increasingly interested in understanding how companies source their raw materials",Non-material risk,"Whilst Sodexo takes its purchases of palm oil seriously and is in the process of deploying a strategy to increase the sustainability of its sourcing, palm oil is a relatively small commodity which does not have major operational risks associated with it."
2014,Sodexo,France,"(46.227638, 2.213749)",3,Cattle Products,,"When Sodexo was developing the Better Tomorrow Plan during the Fiscal Year 2009, a materiality study was carried out with the major stakeholders. This materiality study has been renewed as part of the process to evolve the Better Tomorrow Plan towards 2025. Sustainable Agriculture was identified as a material area for Sodexo to commit to improve the sustainability of its business. 
Sodexo subsequently worked with the WWF within the framework of our technical agreement to identify the most material commodity groups within the agriculture in general and beef was one of the five commodities identified based on :
- Greenhouse gas emissions from deforestation
- Water footprint and river basins
- Overlap with areas of high biodiversity
- Social concerns
- Sourcing volumes and cost
As a result, the Group has worked to carry out a full risk assessment including physical, reputational and regulatory risks involved with beef. The initial strategy has been defined focusing in particular on the reduction of consumption through consumer awareness and food waste management. Additional strategic avenues are in progress to further reduce the risks.",Material risk,Regulations in relation to beef could have a material impact on Sodexo's business due to the importance of this commodity in our business. However the geographical spread of our activities and our ability to substitute the use of beef with other animal or vegetable proteins means that such impacts are limited,Material risk,"Many of Sodexo's stakeholders including our employees, clients, consumers, NGOs and financial investors are increasingly interested in understanding how companies source their raw materials",Non-material risk,"The purchase of beef is important to Sodexo's business, however the geographical spread of our activities and our ability to substitute the use of beef with other animal or vegetable proteins means that risks associated with supply shortages or price volatility are limited. More important factors are issues with traceability and fraud that have become highly visible through recent scandals particularly in Europe."
2014,Sodexo,France,"(46.227638, 2.213749)",4,Soy,,"When Sodexo was developing the Better Tomorrow Plan during the Fiscal Year 2009, a materiality study was carried out with the major stakeholders. This materiality study has been renewed as part of the process to evolve the Better Tomorrow Plan towards 2025. Sustainable Agriculture was identified as a material area for Sodexo to commit to improve the sustainability of its business. 
Sodexo subsequently worked with the WWF within the framework of our technical agreement to identify the most material commodity groups within the agriculture in general and soywas one of the five commodities identified based on :
- Greenhouse gas emissions from deforestation
- Water footprint and river basins
- Overlap with areas of high biodiversity
- Social concerns
- Sourcing volumes and cost
As a result, the Group has worked to carry out a full risk assessment including physical, reputational and regulatory risks involved with soy. The initial strategy has been defined focusing in particular on the reduction of consumption through consumer awareness and food waste management. Additional strategic avenues are in progress to further reduce the risks.",Material risk,Regulations in relation to soy could have a material impact on Sodexo's business due to the importance of this commodity in our business. However the geographical spread of our activities means that such impacts are limited,Material risk,"Many of Sodexo's stakeholders including our employees, clients, consumers, NGOs and financial investors are increasingly interested in understanding how companies source their raw materials",Non-material risk,"Sodexo does not purchase soy directly but mostly indirectly as animal feed through its purchases of meat, poultry and dairy products. This indirect purchase is important to Sodexo's business, however the geographical spread of our activities and our ability to substitute the use of meat protein with vegetable proteins means that risks associated with supply shortages or price volatility are limited."
2014,Sofidel S.p.A.,Italy,"(41.87194, 12.56738)",1,Timber,Yes,"Every year Sofidel send to pulp suppliers a questionnaire with the following requests:
•	Name of the manufacturer of pulp and the name and address of the manufacturing plant;
•	Geographical origin of the wood used for the production of cellulose and indication of the sub-national region of origin;
•	Indication of the percentage of wood associated with the geographical origin;
•	Indication of the type of wood used (common name and, where applicable, the scientific name);
•	Indication of the main steps in the logistics chain, from the origin of the timber to the stage of pulp and paper production;
•	Certificates of forest management and chain of custody forest owned by the manager of the forest resource and the producer of pulp;
•	Documents or other information indicating compliance of the harvested wood with the applicable legislation.
•	Human rights and working conditions;
•	Health and safety aspects;
•	Corporate ethics and corruption
•	CSR management
Once received back the questionnaire, Sofidel checks the correct fulfillment of the questions, performs the risk assessment for each raw material and arranges for the archiving both paper and electronic questionnaires. Electronic archiving is done on the database “josh archive” accessed via web.
The elements of assessment are the following:
•	Assurance of compliance with applicable legislation, which may include certification or other third-party- verified schemes which cover compliance with applicable legislation,
•	Prevalence of illegal harvesting of specific tree species,
•	Prevalence of illegal harvesting or practices in the country of harvest and/or sub-national region where the timber was harvested, including consideration of the prevalence of armed conflict,
•	Complexity of the supply chain of timber and timber products.

For the suppliers that do not answer to the questionnaire are forecast different steps of action, from the remainders to the cancellation from the list of the suppliers .

A sort of risk assessment is also carried out to evaluate the production of wood pulp at country level. The procedure is not formalized yet but every year information from difference sources (UNEP, UNECE/FAO, FSC, PEFC, GLOBAL FOREST WATCH, others) are collected to evaluate the risk related to each country. Sofidel is not purchasing pulp from risky countries to minimize the reputational risk.",Material risk,"Sofidel has to perform a due diligence accordingly to the regulation (EU) no 995/2010 of the European parliament and of the council of 20 October 2010 that lays down the obligations of operators who place, for the first time, timber and timber products on the European market. Sofidel’s operations are defined as operator and verifies that such requirements can be applied to virgin fibre pulp purchased.
Reference documents are:
Regulation (EU) no 995/2010 of the European parliament and of the council of 20 October 2010 laying down the obligations of operators who place timber and timber products on the market (the regulation).
Commission implementing regulation (EU) no 607/2012 of 6 July 2012 on the detailed rules concerning the due diligence system and the frequency and nature of the checks on monitoring organisations as provided for in regulation (EU) no 995/2010.
Guidance document for the EU timber regulation (available at http://ec.europa.eu/environment/forests/timber_regulation.htm)",Material risk,"Buying forest products from controversial sources could create major concerns on Sofidel stakeholders giving rise to NGO’s negative campaigns and public boycotts of our products creating major damages to Sofidel’s public reputation. A good reputation is a fundamental resource that can significantly help Sofidel to create added value for its products and to develop long term loyal relationship with its customer. Please consider Sofidel doesn’t have “business to business” relation but its customer is the consumer: that means a bad reputation will have an immediate bad impact on the consumer loyalty. A bad reputation could also decrease the possibility to get access to financial markets (reducing dramatically the negotiation power with banks and financial institutions preventing Sofidel from doing future investments) and to get access to the labour market since, for an equal pay, talent people will prefer a sustainable company than a company with a bad reputation.",Material risk,"Certified forest sources are limited and concentrated in determined area of the world: this situation could create a lack of supply of certified forest products (in case of over-demand) with a related price volatility. To avoid this risk, Sofidel secures its needs with long term contracts with suppliers able to grant regular deliveries of certified forest products."
2013,"Stanley Black & Decker, Inc.",USA,"(37.09024, -95.712891)",1,Timber,No,,Material risk,EU Timber Regulations,Non-material risk,Reputational issues associated with buying timber components from non-compliant sources.,No risk,
2014,"Stanley Black & Decker, Inc.",USA,"(37.09024, -95.712891)",1,Timber,Partial,On an ongoing basis we are using our Global Sourcing Processes specifically our Engineering Specification  (ES)100118  which is the Stanley Black & Decker Corporate list of banned and restricted substances that we allow in our products to identify timber use as part of our finished products and to gather the relevant information relating to these products. This is communicated to our Supply Chain by our Restricted Substance Declaration System. This is a self developed tool that has been introduced to allow us to communicate with our Supply Chain on specifically on substance related issues The resulting Supply Chain response information is used to evaluate any potential risk associated with timber in our products.,Material risk,"Stanley Black & Decker is exposed to regulatory risk particularly through the Lacey Act in the United States and the European Union Timber Regulations. This has seen us amend our Global Sourcing, Sustainability and Trade Compliance processes to ensure we have the correct processes in place to source and transport timber around the globe in the correct manner. These process are used to ensure that our supply remains secure and we are not exposed to reputational risk through the sourcing of timber from an incorrect source.",Non-material risk,Stanley Black & Decker has a major global brand and reputation to maintain and damage to this reputation will have major business consequences. We have processes in place to manage disruption within our business from stakeholder concerns such as NGOs and corporate expose. We work hard to ensure that we work fairly with all stakeholders. To date we have seen no disruption to our business thorugh this type of issue.,Material risk,"There are operational risks for Stanley Black & Decker through producing timber based products or buying timber. Through our Global Sourcing processes we manage these risks to ensure that security of supply, price volatility and sustainable sourcing are minimal. This includes having dual material sources, long term pricing contracts in place and regular supplier audits to ensure that all of our expectations are being met."
2013,Stonyfield Farm Inc,USA,"(37.09024, -95.712891)",1,Timber,Partial,"We are always reviewing our suppliers to ensure they are aligned with our values. We evaluate every packaging decision based on our packaging sustainability goals and we do our best with each decision to ensure that our packaging is that which:

Is beneficial, safe, and healthy for individuals and communities throughout its life cycle;
Meets market criteria for performance and cost;
Is sourced, manufactured, transported, and recycled using renewable energy;
Maximizes the use of renewable or recycled source materials;
Is manufactured using clean production technologies and best practices;
Is made from materials healthy in all probable end-of-life scenarios;
Is physically designed to optimize materials and energy; and
Is effectively recovered and utilized in biological and/or industrial cradle-to-cradle cycles.
* From Sustainable Packaging Coalition, 2006",No risk,,No risk,,No risk,
2013,Stonyfield Farm Inc,USA,"(37.09024, -95.712891)",2,Palm Oil,Partial,"We are always reviewing our suppliers to ensure they are aligned with our values, and this particular supplier has a formidable ongoing risk assessment and abatement strategy, which they make public. The supplier is RSPO and organic certified, and  they have had a zero deforestation and forest preservation policy since 2001. We only use certified organic palm oil, which inherently contains requirements that limit several aspects of ecological risk.",No risk,,No risk,,No risk,
2013,Stonyfield Farm Inc,USA,"(37.09024, -95.712891)",3,Soy,Partial,We are always reviewing our suppliers to ensure they are aligned with our values. We only use certified organic soy sourced from North America.,No risk,,No risk,,No risk,
2013,Stonyfield Farm Inc,USA,"(37.09024, -95.712891)",4,Biofuels,Partial,"Our supplier to ensures that our B5 and B20 meets all ASTM standards. We chose our supplier because it conforms to our internal biofuels position, which is that it comes only from waste vegetable oil and never from virgin oil.",No risk,,No risk,,No risk,
2014,Stonyfield Farm Inc,USA,"(37.09024, -95.712891)",1,Timber,Partial,"No Risk. We are always reviewing our suppliers to ensure they are aligned with our values. We evaluate every packaging decision based on our packaging sustainability goals and we do our best with each decision to ensure that our packaging is that which:

Is beneficial, safe, and healthy for individuals and communities throughout its life cycle;
Meets market criteria for performance and cost;
Is sourced, manufactured, transported, and recycled using renewable energy;
Maximizes the use of renewable or recycled source materials;
Is manufactured using clean production technologies and best practices;
Is made from materials healthy in all probable end-of-life scenarios;
Is physically designed to optimize materials and energy; and
Is effectively recovered and utilized in biological and/or industrial cradle-to-cradle cycles.
* From Sustainable Packaging Coalition, 2006",No risk,,No risk,,No risk,
2014,Stonyfield Farm Inc,USA,"(37.09024, -95.712891)",2,Palm Oil,Partial,"No Risk. We are always reviewing our suppliers to ensure they are aligned with our values, and this particular supplier has a formidable ongoing risk assessment and abatement strategy, which they make public. The supplier is RSPO and organic certified, and they have had a zero deforestation and forest preservation policy since 2001. We only use certified organic palm oil, which inherently contains requirements that limit several aspects of ecological risk.",No risk,,No risk,Consumers/3rd parties may not be aware of environmental and health differences between organic and non-organic.,No risk,
2014,Stonyfield Farm Inc,USA,"(37.09024, -95.712891)",3,Soy,Partial,No Risk. We are always reviewing our suppliers to ensure they are aligned with our values. We only use certified organic soy sourced from North America.,No risk,,No risk,Consumers/3rd parties may not be aware of environmental and health differences between organic and non-organic.,No risk,
2014,Stonyfield Farm Inc,USA,"(37.09024, -95.712891)",4,Biofuels,Partial,"No Risk. Our supplier ensures that our B5 and B20 meet all ASTM standards. We chose our supplier because it conforms to our internal biofuels position, which is that it comes only from waste vegetable oil and never from virgin oil.",No risk,,No risk,,No risk,
2014,Sveaskog,Sweden,"(60.128161, 18.643501)",2,Biofuels,Yes,"Analysis of life cycle data for RME, from domestic crops, and of wood material from Swedish forests.",Material risk,EU Criteria for biofuels,Non-material risk,Risks associated to RME insignificant. Risks in connection to other sources of biofuel currently small,Non-material risk,
2014,Stora Enso Oyj,Finland,"(61.92411, 25.748151)",1,Timber,Yes,"Stora Enso traces 100% of wood it purchases to ensure the wood comes from legal and acceptable sources. 78% of wood used by the company (in 2013) was certified. All Stora Enso's own and/or joint venture plantations in production are third party certified (PEFC and/or FSC). In addition, independent third party Environmental and Social Impact Assessment (including economic assessment) and internal feasibility studies have been conducted to all Stora Enso plantations prior to their establishment. Please see more comments in the 'Further information section'.",Material risk,"We observe the new ""EU regulation laying down the obligations of operators who place timber and timber products on the market"" and comply its demands for the due diligence system. We also comply with the regulations of the Lacey Act in the USA.",Material risk,"Stora Enso is observed by different NGOs (MST, World Rainforest Movement, Friends of the Earth, Greenpeace, Swedish Society for Nature Conservation etc.) - especially our operations in emerging markets (e.g. Veracel in Brazil and Stora Enso Guangxi in China) have received media attention. The criticism was not related to deforestation but to land ownership and land use rights. We see a reputational risk coming from the fact that the pulp and paper industry is the target for criticism, as it is often involved in using large areas of land and other natural resources.",Material risk,"We see a market related risk: Customers are sensitive and want ""conflict free"" products - this is especially true during periods of structural overcapacity/oversupply. If customers stop buying from us, we are forced to reduce our capacity."
